customer_key,user_id,full_name,email,phone,address,preferred_currency_id,created_at
45,45,علي الغامدي,pro_user45@ecommerce.sa,0572043688,حي 2,2,2025-12-20 01:18:08
46,46,علي العتيبي,pro_user46@ecommerce.sa,0515200414,حي 10,3,2025-07-16 01:18:08
47,47,سارة الزهراني,pro_user47@ecommerce.sa,0521428968,حي 10,2,2025-05-22 01:18:08
48,48,أحمد القحطاني,pro_user48@ecommerce.sa,0531725666,حي 20,3,2025-05-19 01:18:08
49,49,عمر العتيبي,pro_user49@ecommerce.sa,0532205258,حي 2,1,2025-10-26 01:18:08
50,50,عبدالله الدوسري,pro_user50@ecommerce.sa,0541513172,حي 2,2,2025-05-13 01:18:08
51,51,سارة العتيبي,pro_user51@ecommerce.sa,0531679384,حي 16,1,2025-12-17 01:18:08
52,52,أحمد العتيبي,pro_user52@ecommerce.sa,0579394857,حي 4,3,2025-01-10 01:18:08
53,53,محمد القحطاني,pro_user53@ecommerce.sa,0580116803,حي 15,3,2025-07-17 01:18:08
54,54,محمد المطيري,pro_user54@ecommerce.sa,0572462699,حي 8,1,2025-05-10 01:18:08
55,55,عمر العتيبي,pro_user55@ecommerce.sa,0518705834,حي 17,1,2025-05-06 01:18:08
56,56,أحمد الزهراني,pro_user56@ecommerce.sa,0521577340,حي 1,1,2025-06-06 01:18:08
57,57,فاطمة المطيري,pro_user57@ecommerce.sa,0567674304,حي 19,1,2025-09-19 01:18:08
58,58,فاطمة الغامدي,pro_user58@ecommerce.sa,0589784162,حي 19,1,2025-04-01 01:18:08
59,59,فاطمة المطيري,pro_user59@ecommerce.sa,0547562270,حي 5,3,2025-09-03 01:18:08
60,60,فاطمة الدوسري,pro_user60@ecommerce.sa,0587166203,حي 2,3,2025-04-24 01:18:08
61,61,أحمد الغامدي,pro_user61@ecommerce.sa,0588845173,حي 8,1,2025-07-06 01:18:08
62,62,سارة الدوسري,pro_user62@ecommerce.sa,0510291965,حي 11,1,2025-04-26 01:18:08
63,63,أحمد العتيبي,pro_user63@ecommerce.sa,0527892403,حي 5,1,2025-12-24 01:18:08
64,64,ليلى المطيري,pro_user64@ecommerce.sa,0527549206,حي 9,1,2025-03-16 01:18:08
65,65,ليلى الدوسري,pro_user65@ecommerce.sa,0582939456,حي 13,2,2025-10-29 01:18:08
66,66,نورة العتيبي,pro_user66@ecommerce.sa,0535368247,حي 3,3,2025-04-17 01:18:08
67,67,سارة الدوسري,pro_user67@ecommerce.sa,0520331170,حي 3,1,2024-12-27 01:18:08
68,68,ليلى الدوسري,pro_user68@ecommerce.sa,0527647887,حي 10,3,2025-06-07 01:18:08
69,69,عمر الدوسري,pro_user69@ecommerce.sa,0576598432,حي 1,3,2025-06-21 01:18:08
70,70,نورة القحطاني,pro_user70@ecommerce.sa,0588118887,حي 10,1,2025-07-07 01:18:08
71,71,علي العتيبي,pro_user71@ecommerce.sa,0573128799,حي 9,1,2025-06-08 01:18:08
72,72,سارة الدوسري,pro_user72@ecommerce.sa,0579400631,حي 11,3,2025-02-11 01:18:08
73,73,خالد الدوسري,pro_user73@ecommerce.sa,0571723396,حي 19,2,2025-08-03 01:18:08
74,74,عبدالله العتيبي,pro_user74@ecommerce.sa,0519898455,حي 2,1,2025-11-17 01:18:08
75,75,سارة الدوسري,pro_user75@ecommerce.sa,0579294833,حي 11,1,2025-11-24 01:18:08
76,76,علي الشمري,pro_user76@ecommerce.sa,0550300863,حي 1,2,2025-03-19 01:18:08
77,77,علي العتيبي,pro_user77@ecommerce.sa,0583212774,حي 7,2,2025-06-04 01:18:08
78,78,خالد الدوسري,pro_user78@ecommerce.sa,0533061337,حي 9,3,2025-09-26 01:18:08
79,79,خالد الدوسري,pro_user79@ecommerce.sa,0549998661,حي 16,3,2025-10-01 01:18:08
80,80,محمد الدوسري,pro_user80@ecommerce.sa,0593691392,حي 8,3,2025-10-20 01:18:08
81,81,فاطمة العتيبي,pro_user81@ecommerce.sa,0590367796,حي 15,3,2025-03-05 01:18:08
82,82,سارة المطيري,pro_user82@ecommerce.sa,0538990262,حي 11,2,2025-01-22 01:18:08
83,83,علي الشمري,pro_user83@ecommerce.sa,0533843725,حي 13,2,2025-06-12 01:18:08
84,84,ليلى المطيري,pro_user84@ecommerce.sa,0578564472,حي 17,1,2025-08-28 01:18:08
85,85,أحمد الغامدي,pro_user85@ecommerce.sa,0525184281,حي 6,3,2025-12-31 01:18:08
86,86,خالد الغامدي,pro_user86@ecommerce.sa,0599308055,حي 4,2,2025-08-05 01:18:08
87,87,خالد الزهراني,pro_user87@ecommerce.sa,0591367212,حي 15,1,2025-09-15 01:18:08
88,88,عمر الغامدي,pro_user88@ecommerce.sa,0512752484,حي 12,2,2025-05-06 01:18:08
89,89,عبدالله الغامدي,pro_user89@ecommerce.sa,0596668457,حي 15,3,2025-08-26 01:18:08
90,90,سارة العتيبي,pro_user90@ecommerce.sa,0596844357,حي 12,1,2025-03-18 01:18:08
91,91,خالد القحطاني,pro_user91@ecommerce.sa,0529809276,حي 11,2,2025-02-08 01:18:08
92,92,علي الزهراني,pro_user92@ecommerce.sa,0592222714,حي 14,3,2025-11-22 01:18:08
93,93,علي الزهراني,pro_user93@ecommerce.sa,0525627001,حي 9,2,2025-06-12 01:18:08
94,94,عبدالله الشمري,pro_user94@ecommerce.sa,0593334654,حي 13,2,2025-02-16 01:18:08
95,95,أحمد الزهراني,pro_user95@ecommerce.sa,0514473166,حي 11,3,2025-01-06 01:18:08
96,96,ليلى العتيبي,pro_user96@ecommerce.sa,0595426258,حي 2,1,2025-04-23 01:18:08
97,97,خالد العتيبي,pro_user97@ecommerce.sa,0514303287,حي 6,2,2025-06-23 01:18:08
98,98,محمد الغامدي,pro_user98@ecommerce.sa,0562620519,حي 17,1,2025-11-12 01:18:08
99,99,خالد الشمري,pro_user99@ecommerce.sa,0530704591,حي 18,3,2024-12-25 01:18:08
100,100,خالد القحطاني,pro_user100@ecommerce.sa,0570011024,حي 19,1,2025-05-15 01:18:08
101,101,علي الغامدي,pro_user101@ecommerce.sa,0575616997,حي 9,2,2025-09-22 01:18:08
102,102,نورة الغامدي,pro_user102@ecommerce.sa,0518355263,حي 10,1,2024-12-31 01:18:08
103,103,أحمد الدوسري,pro_user103@ecommerce.sa,0534215892,حي 14,1,2025-08-30 01:18:08
104,104,عمر الغامدي,pro_user104@ecommerce.sa,0578861416,حي 6,1,2025-12-17 01:18:08
105,105,فاطمة الدوسري,pro_user105@ecommerce.sa,0559970761,حي 13,2,2025-03-06 01:18:08
106,106,عمر العتيبي,pro_user106@ecommerce.sa,0566681054,حي 3,3,2025-05-21 01:18:08
107,107,علي الغامدي,pro_user107@ecommerce.sa,0569294314,حي 14,3,2025-09-01 01:18:08
108,108,محمد الغامدي,pro_user108@ecommerce.sa,0574983601,حي 7,2,2025-05-14 01:18:08
109,109,ليلى الدوسري,pro_user109@ecommerce.sa,0584178054,حي 4,3,2025-02-09 01:18:08
110,110,عمر الدوسري,pro_user110@ecommerce.sa,0577497397,حي 7,3,2025-12-16 01:18:08
111,111,عمر العتيبي,pro_user111@ecommerce.sa,0574963591,حي 1,3,2024-12-29 01:18:08
112,112,فاطمة المطيري,pro_user112@ecommerce.sa,0568470336,حي 5,2,2025-03-19 01:18:08
113,113,ليلى المطيري,pro_user113@ecommerce.sa,0556464436,حي 20,3,2026-01-08 01:18:08
114,114,خالد الشمري,pro_user114@ecommerce.sa,0551226711,حي 19,2,2024-12-11 01:18:08
115,115,ليلى الدوسري,pro_user115@ecommerce.sa,0578853844,حي 3,2,2024-12-31 01:18:08
116,116,فاطمة الدوسري,pro_user116@ecommerce.sa,0583512695,حي 18,1,2025-07-05 01:18:08
117,117,خالد العتيبي,pro_user117@ecommerce.sa,0574852101,حي 10,1,2025-06-17 01:18:08
118,118,عبدالله العتيبي,pro_user118@ecommerce.sa,0580406936,حي 18,1,2025-09-03 01:18:08
119,119,سارة العتيبي,pro_user119@ecommerce.sa,0513854345,حي 17,1,2025-12-29 01:18:08
120,120,فاطمة الغامدي,pro_user120@ecommerce.sa,0546472210,حي 7,1,2025-08-11 01:18:08
121,121,عبدالله القحطاني,pro_user121@ecommerce.sa,0521928019,حي 18,1,2024-12-18 01:18:08
122,122,ليلى العتيبي,pro_user122@ecommerce.sa,0572945334,حي 6,2,2025-01-20 01:18:08
123,123,خالد الشمري,pro_user123@ecommerce.sa,0594644596,حي 19,2,2025-05-02 01:18:08
124,124,أحمد الزهراني,pro_user124@ecommerce.sa,0512184996,حي 14,2,2025-11-08 01:18:08
125,125,عبدالله الغامدي,pro_user125@ecommerce.sa,0575854537,حي 4,1,2025-07-01 01:18:08
126,126,نورة العتيبي,pro_user126@ecommerce.sa,0584774808,حي 16,1,2025-08-21 01:18:08
127,127,نورة الزهراني,pro_user127@ecommerce.sa,0537183217,حي 9,1,2025-04-29 01:18:08
128,128,خالد الشمري,pro_user128@ecommerce.sa,0549546213,حي 9,3,2025-02-20 01:18:08
129,129,محمد الشمري,pro_user129@ecommerce.sa,0556349201,حي 11,2,2024-12-09 01:18:08
130,130,ليلى العتيبي,pro_user130@ecommerce.sa,0543047048,حي 5,2,2025-07-09 01:18:08
131,131,خالد العتيبي,pro_user131@ecommerce.sa,0554014351,حي 4,1,2025-03-20 01:18:08
132,132,ليلى الزهراني,pro_user132@ecommerce.sa,0523494018,حي 18,2,2025-10-14 01:18:08
133,133,ليلى الدوسري,pro_user133@ecommerce.sa,0518873118,حي 15,3,2025-07-16 01:18:08
134,134,محمد الدوسري,pro_user134@ecommerce.sa,0547505978,حي 14,1,2025-02-14 01:18:08
135,135,ليلى العتيبي,pro_user135@ecommerce.sa,0542969704,حي 18,2,2025-10-05 01:18:08
136,136,علي الغامدي,pro_user136@ecommerce.sa,0591074287,حي 13,1,2025-10-16 01:18:08
137,137,ليلى الدوسري,pro_user137@ecommerce.sa,0539777588,حي 14,3,2024-12-27 01:18:08
138,138,أحمد المطيري,pro_user138@ecommerce.sa,0576360967,حي 14,2,2025-01-30 01:18:08
139,139,خالد المطيري,pro_user139@ecommerce.sa,0545050790,حي 11,3,2025-07-30 01:18:08
140,140,أحمد المطيري,pro_user140@ecommerce.sa,0517154770,حي 17,1,2025-07-11 01:18:08
141,141,نورة الزهراني,pro_user141@ecommerce.sa,0525797373,حي 18,3,2025-01-22 01:18:08
142,142,عبدالله المطيري,pro_user142@ecommerce.sa,0585238054,حي 17,1,2025-03-05 01:18:08
143,143,سارة المطيري,pro_user143@ecommerce.sa,0550332104,حي 1,1,2025-02-20 01:18:08
144,144,محمد المطيري,pro_user144@ecommerce.sa,0590078241,حي 3,3,2025-08-18 01:18:08
145,145,سارة المطيري,pro_user145@ecommerce.sa,0569583018,حي 20,1,2025-03-24 01:18:08
146,146,فاطمة العتيبي,pro_user146@ecommerce.sa,0579114038,حي 12,3,2025-12-01 01:18:08
147,147,علي الزهراني,pro_user147@ecommerce.sa,0548274573,حي 3,1,2025-03-15 01:18:08
148,148,خالد الزهراني,pro_user148@ecommerce.sa,0597444283,حي 4,1,2025-04-10 01:18:08
149,149,خالد الشمري,pro_user149@ecommerce.sa,0515707541,حي 6,1,2025-09-30 01:18:08
150,150,محمد القحطاني,pro_user150@ecommerce.sa,0516304655,حي 20,1,2025-07-07 01:18:08
